country_code,athletes,soccer_athletes,track_athletes,gdp_per_capita_ppp,population,pop_15_24,unemployment,gdp_growth,political_stability,rule_of_law,control_corruption,years_with_conflict_2010_23,disaster_deaths_2010_23,econ_shocks_2010_23,stringency_2020_21,inflation_2023,mean_inflation_2010_23,hyperinflation_event,refugees_origin_2023,refugees_plus_asylum_2010_23_total,log_athletes,log_gdp_pc,log_pop,log_pop_15_24,athletes_per_million,athletes_per_million_15_24,log_athletes_per_million,log_athletes_per_million_15_24,log_disaster_deaths_2010_23,log_refugees_per_cohort,log_inflation_2023,log_mean_inflation_2010_23
FIN,6,1,5,56250.8787899319,5583911.0,611711.3758806713,7.149,-1.43236573890965,0.714,1.967,2.2215,0.0,363.0,2.0,40.805,6.25064322154762,2.057051915985704,0.0,0.0,164.0,1.791759469228055,10.937576942876753,15.535399984901913,13.324015842214298,1.074515693391245,9.808547358403942,0.07187004229041671,2.283254184978032,5.8971538676367405,0.00026806436200128777,1.981090185144643,1.1174510254225585
FRA,64,0,64,54296.7230897731,68372286.0,8153466.003622076,7.335,1.16054609449012,0.3437,1.1806,1.1848,0.0,14401.0,2.0,53.785,4.8783572650844,1.6714390930789749,0.0,50.0,3316.0,4.1588830833596715,10.902219155846359,18.040478125048434,15.913953671330663,0.9360517798103167,7.8494225611008615,-0.06608448372448948,2.0604399699932823,9.575122364808813,0.00040661552714773034,1.7712773461912725,0.9826173133831839
GBR,203,11,192,52592.6822066393,68492000.0,7868562.603275329,4.025,-1.02837368059031,0.5149,1.3984,1.4809,0.0,9667.0,1.0,57.68,6.79396706793963,2.775273356237017,0.0,210.0,4065.0,5.313205979041787,10.87033226750072,18.042227508091,15.878385961180683,2.963849792676517,25.798866989442292,1.0864890289150626,3.250330575825378,9.176576741823373,0.000516479381421901,2.0533499815983314,1.328472792327564
GEO,1,0,1,22590.5293649146,3715483.0,419477.93435002473,11.549,7.74568551727566,-0.3356,0.1773,0.6177,0.0,70.0,2.0,57.965,2.48776056578715,4.718819849420499,0.0,14695.0,337076.0,0.0,10.025286042782644,15.12801924114193,12.946766203625224,0.269144011693769,2.3839156201374125,-1.3125086831776556,0.86874435433905,4.2626798770413155,0.5897629006243225,1.2492598585607178,1.7437624640734195
GHA,21,0,21,6808.53775165029,33787914.0,6057774.119105352,2.829,1.19022304172192,-0.0216,-0.0996,-0.099,0.0,233.0,6.0,42.92,38.1069656296501,14.92529774438026,0.0,13870.0,379626.0,3.044522437723423,8.825932655331558,17.335613722543936,15.616852983493404,0.6215240159543439,3.4666198486617397,-0.4755807268562392,1.2431800121942924,5.455321115357702,0.06078232486157744,3.666300600220565,2.767908897947827
GRC,14,1,13,36700.5134631055,10407351.0,1088732.4422298225,11.023,2.42572335736084,0.2397,0.2132,0.0978,0.0,7639.0,3.0,63.69499999999999,3.46480128513405,1.416791631190215,0.0,102.0,2837.0,2.6390573296152584,10.510546024765103,16.15802294135018,13.900524680479043,1.3452030204419934,12.858990379056523,0.2965449462293554,2.5540432071004897,8.941152882160566,0.0026023933853758937,1.4962247083289137,0.8824408883196058
GRD,7,0,7,17093.1562867447,117081.0,17558.199118930337,,4.37658936970584,1.018,0.6049,0.5582,0.0,0.0,1.0,,2.69612269814564,1.218160686219798,0.0,70.0,3522.0,1.9459101490553132,9.74643344523306,11.670621281937779,9.773276306060325,59.78766836634467,398.67414377667944,4.090799425081809,5.988144400959263,0.0,0.18281314241992316,1.3072843507786385,0.7966783327512169
GTM,2,0,2,12384.948508094,18124838.0,3656946.476612397,2.344,1.95109389659021,-0.2444,-1.0753,-1.1216,0.0,1610.0,1.0,59.18,6.20657592272126,4.349851026026447,0.0,34010.0,1258471.0,0.6931471805599453,9.424237184312394,16.712793820734035,15.112139061151401,0.11034581384948103,0.5469043675620582,-2.204136082209815,-0.6034813226271819,7.384610383176974,0.2957481860952818,1.9749939317968768,1.677068714917686
GUY,9,0,9,49312.3603225444,826353.0,153719.49978185972,11.917,33.0314424322445,-0.0552,-0.3422,-0.3837,0.0,0.0,0.0,62.855,2.82110335099641,2.423449002109748,0.0,248.0,13083.0,2.1972245773362196,10.805930045088287,13.624777321985327,11.942884790587224,10.891229293050307,58.54819988857445,2.387957813315167,4.06985034471327,0.0,0.0816809649090577,1.340539216252962,1.2306485230490847
HKG,1,0,1,64434.5576690871,7536100.0,646992.4353592115,2.949,0.621382102439426,0.6731,1.2936,1.6251,0.0,4.0,1.0,61.92999999999999,2.09660511249089,2.74248225326586,0.0,350.0,4561.0,0.0,11.073405377937341,15.835215364789361,13.380089881543299,0.13269462984833003,1.5456131252057035,-2.019704806825087,0.43542067642097565,1.6094379124341003,0.007024809610760282,1.130306386400622,1.3197490953540734
HRV,3,0,3,41320.2032633085,3859686.0,405130.2317320682,6.121,3.65290188342374,0.5977,0.3606,0.1819,0.0,1313.0,2.0,42.3,7.9412817758683,2.28283864281512,0.0,17579.0,494843.0,1.0986122886681098,10.62910684246902,15.166096390981895,12.911963854231661,0.77726530085608,7.405026248409036,-0.2519735443495118,2.002158992400723,7.1808311990445555,0.7981564451125451,2.190678954284923,1.188708488001543
HUN,8,0,8,40333.2546888118,9592186.0,1017274.0784192012,4.096,-0.683845867847779,0.7319,0.4271,-0.0005,0.0,1003.0,3.0,47.945,17.1249659678737,4.641734180893053,0.0,2147.0,60091.0,2.0794415416798357,10.604931586044698,16.07645936666078,13.832637135693611,0.8340121845010094,7.864153987322321,-0.18150726701667053,2.062314963950499,6.911747300251674,0.05739174018173464,2.8972903231044214,1.730191497129771
IND,12,0,12,9301.75603225735,1438069596.0,257476344.46348223,4.172,8.23053143349361,-0.6351,0.1884,-0.366,14.0,30537.0,1.0,66.30000000000001,5.64914318907925,6.572745166391904,0.0,25319.0,835221.0,2.4849066497880004,9.1379584819898,21.08656749284882,19.366438407686875,0.008344519648686044,0.04660622328239539,-4.786150285096544,-3.0660211999346023,10.326727088743457,0.003238624690327894,1.8944880026192128,2.0245556392805297
IRL,32,0,32,117862.128878959,5311538.0,640287.1025366541,4.243,-4.34749825420604,0.9019,1.6336,1.5753,0.0,93.0,1.0,57.865,6.29942487419125,1.5453355808718223,0.0,0.0,1109.0,3.4657359027997265,11.6772708210063,15.485391993464479,13.369671952459504,6.024620364195831,49.97758017180756,1.7958544672995214,3.9115745083044966,4.543294782270004,0.0017305372690784714,1.987795560693332,0.9342625001985987
ISL,8,3,5,68118.3960312086,385663.0,48168.4654113434,3.518,4.18792511132344,1.2144,1.7211,1.5513,0.0,0.0,1.0,38.95,8.73630299937298,3.9732187010975832,0.0,0.0,85.0,2.0794415416798357,11.129002588275224,12.862719210115923,10.782459841349377,20.743498857811094,166.08376313595502,3.032232889528187,5.112492258294733,0.0,0.0017630848354328007,2.275861476747076,1.6040672564647025
ISR,17,0,17,47527.151024672,9849000.0,1399068.634389592,3.371,-1.18723021329285,-1.4648,0.7838,0.8294,10.0,69.0,1.0,55.225,4.22522603168918,1.4417992484880968,0.0,855.0,19994.0,2.833213344056216,10.769056427240791,16.10288048515184,14.151317312050805,1.7260635597522591,12.150940691638784,0.5458434168686508,2.4974065899696845,4.248495242049359,0.014189782926679124,1.6534980565686346,0.8927351644829322
