country_code,entry_year,athletes_entering,stringency_2020_21,pop_15_24,gdp_per_capita_ppp,political_stability,log_entrants,stringency_z
GUY,2021,2,62.855,153719.49978185972,49312.3603225444,-0.0552,1.0986122886681098,0.9384773466247234
GUY,2022,2,62.855,153719.49978185972,49312.3603225444,-0.0552,1.0986122886681098,0.9384773466247234
GUY,2023,2,62.855,153719.49978185972,49312.3603225444,-0.0552,1.0986122886681098,0.9384773466247234
GUY,2024,1,62.855,153719.49978185972,49312.3603225444,-0.0552,0.6931471805599453,0.9384773466247234
HKG,2020,0,61.92999999999999,646992.4353592115,64434.5576690871,0.6731,0.0,0.8599112216256177
HKG,2021,0,61.92999999999999,646992.4353592115,64434.5576690871,0.6731,0.0,0.8599112216256177
HKG,2022,0,61.92999999999999,646992.4353592115,64434.5576690871,0.6731,0.0,0.8599112216256177
HKG,2023,1,61.92999999999999,646992.4353592115,64434.5576690871,0.6731,0.6931471805599453,0.8599112216256177
HKG,2024,0,61.92999999999999,646992.4353592115,64434.5576690871,0.6731,0.0,0.8599112216256177
HRV,2020,0,42.3,405130.2317320682,41320.2032633085,0.5977,0.0,-0.8073893553824205
HRV,2021,1,42.3,405130.2317320682,41320.2032633085,0.5977,0.6931471805599453,-0.8073893553824205
HRV,2022,2,42.3,405130.2317320682,41320.2032633085,0.5977,1.0986122886681098,-0.8073893553824205
HRV,2023,0,42.3,405130.2317320682,41320.2032633085,0.5977,0.0,-0.8073893553824205
HRV,2024,0,42.3,405130.2317320682,41320.2032633085,0.5977,0.0,-0.8073893553824205
HUN,2020,0,47.945,1017274.0784192012,40333.2546888118,0.7319,0.0,-0.32792365200950235
HUN,2021,1,47.945,1017274.0784192012,40333.2546888118,0.7319,0.6931471805599453,-0.32792365200950235
HUN,2022,3,47.945,1017274.0784192012,40333.2546888118,0.7319,1.3862943611198906,-0.32792365200950235
