country_code,year,terms_of_trade_index
BDI,2013,97.9
BEL,2013,98.0
BEN,2013,114.7
BFA,2013,105.8
BGD,2013,86.9
BGR,2013,95.5
BHR,2013,108.9
BHS,2013,91.9
BIH,2013,95.9
BLR,2013,118.4
BLZ,2013,101.4
BMU,2013,97.1
BOL,2013,141.0
BRA,2013,117.1
BRB,2013,97.4
BRN,2013,146.3
BTN,2013,100.6
BWA,2013,76.6
CAF,2013,116.3
CAN,2013,112.7
CHE,2013,94.1
CHL,2013,105.7
CHN,2013,87.2
CIV,2013,87.7
CMR,2013,108.1
COD,2013,100.5
COG,2013,146.6
COL,2013,145.9
COM,2013,83.4
CPV,2013,93.9
CRI,2013,90.7
CUB,2013,99.4
CUW,2013,109.3581705014
CYM,2013,94.9
CYP,2013,99.8
CZE,2013,98.7
DEU,2013,94.8
DJI,2013,108.5
DMA,2013,101.0
DNK,2013,100.9
DOM,2013,92.4
DZA,2013,150.4
ECU,2013,140.8
EGY,2013,105.7
ERI,2013,113.7
ESP,2013,98.3
EST,2013,100.7
ETH,2013,94.8
FIN,2013,95.1
FJI,2013,103.3
FRA,2013,97.4
FRO,2013,85.2
FSM,2013,83.1
GAB,2013,145.5
GBR,2013,108.7
GEO,2013,98.9
GHA,2013,107.6
GIB,2013,85.6
GIN,2013,108.6
GMB,2013,99.8
GNB,2013,101.3
GNQ,2013,157.5
GRC,2013,97.9
GRD,2013,85.9
GRL,2013,89.4
GTM,2013,94.4
GUM,2013,97.3
GUY,2013,96.9
HKG,2013,98.8
HND,2013,91.5
HRV,2013,98.2
HTI,2013,92.2
HUN,2013,98.8
IDN,2013,100.0
IND,2013,90.5
IRL,2013,97.7
IRN,2013,138.2
IRQ,2013,194.3
ISL,2013,86.6
ISR,2013,89.9
ITA,2013,94.2
JAM,2013,97.0
JOR,2013,98.2
JPN,2013,88.6
KAZ,2013,154.4
KEN,2013,88.7
KGZ,2013,101.3
KHM,2013,89.3
KIR,2013,87.0
KNA,2013,99.7
KOR,2013,87.8
KWT,2013,159.6
LAO,2013,107.3
LBN,2013,92.0
LBR,2013,124.3
LBY,2013,167.4
LCA,2013,72.9
LKA,2013,93.6
LSO,2013,81.5
LTU,2013,95.8
LUX,2013,99.1
LVA,2013,98.3
MAC,2013,96.7
MAF,2013,104.6840356758
MAR,2013,104.4
MDA,2013,98.1
MDG,2013,90.0
MDV,2013,86.1
MEX,2013,97.7
MHL,2013,98.4
MKD,2013,90.9
MLI,2013,106.3
MLT,2013,91.5
MMR,2013,95.2
MNG,2013,122.1
MNP,2013,115.4
MOZ,2013,100.2
MRT,2013,132.4
MUS,2013,88.7
MWI,2013,95.7
MYS,2013,103.3
NAM,2013,91.3
NCL,2013,106.7
NER,2013,109.2
NGA,2013,154.2
NIC,2013,85.0
NLD,2013,97.2
NOR,2013,129.7
NPL,2013,92.1
NRU,2013,101.8
NZL,2013,98.7
OMN,2013,163.3
PAK,2013,92.9
PAN,2013,100.6
PER,2013,113.5
PHL,2013,90.8
PLW,2013,92.2
PNG,2013,113.8
POL,2013,98.2
PRK,2013,105.7
PRT,2013,95.9
PRY,2013,88.2
PSE,2013,87.2
PYF,2013,67.9
QAT,2013,150.1
ROU,2013,98.6
RUS,2013,136.9
RWA,2013,89.5
SAU,2013,155.7
SDN,2013,125.4990175934
SEN,2013,95.8
SGP,2013,94.1
SLB,2013,100.1
SLE,2013,120.9
SLV,2013,87.5
SOM,2013,102.4
SRB,2013,96.7
STP,2013,98.3
SUR,2013,109.4
SVK,2013,97.8
SVN,2013,98.3
SWE,2013,99.1
SWZ,2013,98.6
SXM,2013,104.6840356758
SYC,2013,102.5
SYR,2013,97.8
TCA,2013,106.0
TCD,2013,164.1
TGO,2013,90.0
THA,2013,93.9
TJK,2013,96.1
TKM,2013,133.2
TLS,2013,134.1
TON,2013,93.7
TTO,2013,102.5
TUN,2013,108.8
TUR,2013,92.6
TZA,2013,95.8
UGA,2013,90.0
UKR,2013,113.1
URY,2013,94.5
USA,2013,95.3
UZB,2013,112.0
VCT,2013,93.4
VEN,2013,180.4
VGB,2013,84.0
VNM,2013,95.8
VUT,2013,94.6
WLD,2013,100.4
WSM,2013,92.4
YEM,2013,140.7
ZAF,2013,98.7
ZMB,2013,110.3
ZWE,2013,92.9
ABW,2014,109.2
AFG,2014,103.3
AGO,2014,174.9
ALB,2014,108.4
AND,2014,103.7
