school_name,gender,platform,base_url,status,division,source_id,softball_roster,field_hockey_roster,beach_volleyball_roster,football_roster,baseball_roster,cross_country_roster,soccer_roster,volleyball_roster,water_polo_roster,basketball_roster,bowling_roster,fencing_roster,gymnastics_roster,ice_hockey_roster,swimming_diving_roster,track_field_roster,wrestling_roster,golf_roster,lacrosse_roster,rowing_roster,tennis_roster
Allen University,Men,Sidearm Sports,http://auyellowjackets.com/,OK,II,16,,,,https://auyellowjackets.com/sports/football/roster,,https://auyellowjackets.com/sports/mens-cross-country/roster,,,,https://auyellowjackets.com/sports/mens-basketball/roster,,,,,,https://auyellowjackets.com/sports/mens-track-and-field/roster,https://auyellowjackets.com/sports/mwrest/roster,,,,
Allen University,Women,Sidearm Sports,http://auyellowjackets.com/,OK,II,16,https://auyellowjackets.com/sports/softball/roster,,,,,https://auyellowjackets.com/sports/womens-cross-country/roster,https://auyellowjackets.com/sports/womens-soccer/roster,https://auyellowjackets.com/sports/womens-volleyball/roster,,https://auyellowjackets.com/sports/womens-basketball/roster,,,,,,https://auyellowjackets.com/sports/womens-track-and-field/roster,https://auyellowjackets.com/sports/womens-wrestling/roster,,,,
Alma College,Men,Sidearm Sports,http://www.almascots.com/,OK,III,17,,,,https://almascots.com/sports/football/roster,https://almascots.com/sports/baseball/roster,https://almascots.com/sports/mens-cross-country/roster,https://almascots.com/sports/mens-soccer/roster,,,https://almascots.com/sports/mens-basketball/roster,,,,,https://almascots.com/sports/mens-swimming-and-diving/roster,https://almascots.com/sports/mens-track-and-field/roster,https://almascots.com/sports/wrestling/roster,https://almascots.com/sports/mens-golf/roster,https://almascots.com/sports/mens-lacrosse/roster,,https://almascots.com/sports/mens-tennis/roster
Alma College,Women,Sidearm Sports,http://www.almascots.com/,OK,III,17,https://almascots.com/sports/softball/roster,,,,,https://almascots.com/sports/womens-cross-country/roster,https://almascots.com/sports/womens-soccer/roster,https://almascots.com/sports/womens-volleyball/roster,,https://almascots.com/sports/womens-basketball/roster,https://almascots.com/sports/womens-bowling/roster,,,,https://almascots.com/sports/womens-swimming-and-diving/roster,https://almascots.com/sports/womens-track-and-field/roster,https://almascots.com/sports/womens-wrestling/roster,https://almascots.com/sports/womens-golf/roster,https://almascots.com/sports/womens-lacrosse/roster,,https://almascots.com/sports/womens-tennis/roster
Alvernia University,Men,Sidearm Sports,http://athletics.alvernia.edu/,OK,III,18,,,,https://auwolves.com/sports/football/roster,https://auwolves.com/sports/baseball/roster,https://auwolves.com/sports/mens-cross-country/roster,https://auwolves.com/sports/mens-soccer/roster,https://auwolves.com/sports/mens-volleyball/roster,,https://auwolves.com/sports/mens-basketball/roster,,,,https://auwolves.com/sports/mens-ice-hockey/roster,,https://auwolves.com/sports/mens-track-and-field/roster,https://auwolves.com/sports/wrestling/roster,https://auwolves.com/sports/mens-golf/roster,https://auwolves.com/sports/mens-lacrosse/roster,,https://auwolves.com/sports/mens-tennis/roster
Alvernia University,Women,Sidearm Sports,http://athletics.alvernia.edu/,OK,III,18,https://auwolves.com/sports/softball/roster,https://auwolves.com/sports/field-hockey/roster,,,,https://auwolves.com/sports/womens-cross-country/roster,https://auwolves.com/sports/womens-soccer/roster,https://auwolves.com/sports/womens-volleyball/roster,,https://auwolves.com/sports/womens-basketball/roster,https://auwolves.com/sports/womens-bowling/roster,,,https://auwolves.com/sports/womens-ice-hockey/roster,,https://auwolves.com/sports/womens-track-and-field/roster,https://auwolves.com/sports/womens-wrestling/roster,https://auwolves.com/sports/womens-golf/roster,https://auwolves.com/sports/womens-lacrosse/roster,,https://auwolves.com/sports/womens-tennis/roster
Alverno College,Men,Sidearm Sports,http://athletics.alverno.edu/,OK,III,19,,,,,,https://athletics.alverno.edu/sports/cross-country/roster,,,,,,,,,,https://athletics.alverno.edu/sports/track-and-field/roster,,,,,
Alverno College,Women,Sidearm Sports,http://athletics.alverno.edu/,OK,III,19,https://athletics.alverno.edu/sports/softball/roster,,,,,https://athletics.alverno.edu/sports/cross-country/roster,https://athletics.alverno.edu/sports/womens-soccer/roster,https://athletics.alverno.edu/sports/womens-volleyball/roster,,https://athletics.alverno.edu/sports/womens-basketball/roster,,,,,,https://athletics.alverno.edu/sports/track-and-field/roster,,https://athletics.alverno.edu/sports/womens-golf/roster,,,
American International College,Men,Sidearm Sports,http://aicyellowjackets.com/,OK,II,20,,,,https://aicyellowjackets.com/sports/football/roster,https://aicyellowjackets.com/sports/baseball/roster,https://aicyellowjackets.com/sports/mens-cross-country/roster,https://aicyellowjackets.com/sports/mens-soccer/roster,https://aicyellowjackets.com/sports/mens-volleyball/roster,,https://aicyellowjackets.com/sports/mens-basketball/roster,,,,https://aicyellowjackets.com/sports/mens-ice-hockey/roster,,https://aicyellowjackets.com/sports/mens-track-and-field/roster,,https://aicyellowjackets.com/sports/mens-golf/roster,https://aicyellowjackets.com/sports/mens-lacrosse/roster,,
American International College,Women,Sidearm Sports,http://aicyellowjackets.com/,OK,II,20,https://aicyellowjackets.com/sports/softball/roster,https://aicyellowjackets.com/sports/field-hockey/roster,,,,https://aicyellowjackets.com/sports/womens-cross-country/roster,https://aicyellowjackets.com/sports/womens-soccer/roster,https://aicyellowjackets.com/sports/womens-volleyball/roster,,https://aicyellowjackets.com/sports/womens-basketball/roster,,,,,,https://aicyellowjackets.com/sports/womens-track-and-field/roster,,,https://aicyellowjackets.com/sports/womens-lacrosse/roster,,
