iso_code,year,total_cases_per_million,total_deaths_per_million,stringency_index
KGZ,2023,12786.9,147.22,
KHM,2020,21.16,0.0,44.66
KHM,2021,7002.15,174.87,71.0
KHM,2022,8051.23,177.66,20.19
KHM,2023,8081.4,177.66,
KIR,2020,0.0,0.0,19.56
KIR,2021,0.0,0.0,27.14
KIR,2022,26287.35,99.63,29.11
KIR,2023,38971.19,183.94,
KNA,2020,641.97,0.0,
KNA,2021,60687.77,599.17,
KNA,2022,140420.7,984.36,
KNA,2023,141383.66,984.36,
KOR,2020,1097.96,15.6,49.98
KOR,2021,11812.23,102.35,51.28
KOR,2022,553450.44,615.69,21.52
KOR,2023,667636.06,693.94,
KWT,2020,32563.14,202.42,66.41
KWT,2021,90404.12,537.75,65.08
KWT,2022,144441.88,559.97,14.82
KWT,2023,145241.1,559.97,
LAO,2020,5.42,0.0,35.36
LAO,2021,14053.56,43.0,53.32
LAO,2022,28792.41,88.77,50.16
LAO,2023,28959.62,88.77,
LBN,2020,29501.64,240.06,61.34
LBN,2021,123815.78,1571.42,64.71
LBN,2022,212747.38,1870.31,30.18
LBN,2023,215842.16,1905.65,
LBR,2020,338.9,16.56,54.01
LBR,2021,1159.06,53.41,42.9
LBR,2022,1498.15,54.72,39.65
LBR,2023,1505.59,54.72,
LBY,2020,13518.22,195.88,71.3
LBY,2021,53249.37,780.89,63.25
LBY,2022,70201.38,891.08,36.53
LBY,2023,70221.87,891.08,
LCA,2020,1705.87,27.96,
LCA,2021,74247.46,1649.94,
LCA,2022,166381.42,2287.55,
LCA,2023,169077.27,2293.14,
LIE,2020,53081.15,991.46,43.91
LIE,2021,154031.94,1754.12,46.88
LIE,2022,541005.7,2211.71,15.94
LIE,2023,548276.4,2237.14,
LKA,2020,1797.86,8.36,48.0
LKA,2021,25559.44,651.81,72.74
LKA,2022,29422.03,736.37,33.44
LKA,2023,29459.52,739.66,
LSO,2020,1127.24,28.0,49.53
LSO,2021,12327.48,290.89,57.27
LSO,2022,15086.75,308.82,25.41
LSO,2023,15807.62,310.13,
LTU,2020,47647.4,574.03,47.57
LTU,2021,183180.8,2592.19,46.8
LTU,2022,456605.47,3361.47,14.18
LTU,2023,482523.12,3469.39,
LUX,2020,58751.05,436.24,43.2
LUX,2021,146771.23,971.96,46.04
LUX,2022,558484.7,1461.77,24.26
LUX,2023,597011.25,1530.65,
LVA,2020,19313.6,335.98,41.09
LVA,2021,144295.92,2559.73,49.57
LVA,2022,515943.16,3727.16,16.23
LVA,2023,519761.22,3968.51,
MAC,2021,,,27.91
MAC,2022,,,43.13
MAF,2020,34120.01,415.25,
MAF,2021,142501.22,1349.57,
MAF,2022,421482.47,1591.81,
MAF,2023,426465.5,1591.81,
MAR,2020,11534.23,192.99,61.83
MAR,2021,25599.0,397.2,67.87
MAR,2022,34055.07,436.5,32.34
MAR,2023,34243.26,436.66,
MCO,2020,16560.12,77.02,50.68
