school_norm,name_norm,profile_url,country_code,year
harvard,simon weiser,https://www.tfrrs.org/athletes/8684036/Harvard/Simon_Weiser.html,CZE,2023
harvard,marta amani,https://www.tfrrs.org/athletes/8684048/Harvard/Marta_Amani.html,ITA,2023
harvard,klara barbic,https://www.tfrrs.org/athletes/8684049/Harvard/Klara_Barbic.html,HRV,2023
harvard,mickaila haisley,https://www.tfrrs.org/athletes/8684050/Harvard/Mickaila_Haisley.html,JAM,2023
harvard,emilia kolokotroni,https://www.tfrrs.org/athletes/8684052/Harvard/Emilia_Kolokotroni.html,CYP,2023
harvard,penelope salmon,https://www.tfrrs.org/athletes/8279150/Harvard/Penelope_Salmon.html,NZL,2022
harvard,milina wepiwe,https://www.tfrrs.org/athletes/8684055/Harvard/Milina_Wepiwe.html,DEU,2023
hawaii,rose forshaw,https://www.tfrrs.org/athletes/8308463/Hawaii/Rose_Forshaw.html,CAN,2023
hawaii,lilian turban,https://www.tfrrs.org/athletes/7989006/Hawaii/Lilian_Turban.html,EST,2022
hawaii,tara wyllie,https://www.tfrrs.org/athletes/8373743/Hawaii/Tara_Wyllie.html,AUS,2023
high point,cole wilson,https://www.tfrrs.org/athletes/8656084/High_Point/Cole_Wilson.html,CAN,2023
howard,kobe hutson,https://www.tfrrs.org/athletes/8329799/Howard/Kobe_Hutson.html,BRB,2022
illinois,viktor morozov,https://www.tfrrs.org/athletes/8345624/Illinois/Viktor_Morozov.html,EST,2022
illinois,tadeas placek,https://www.tfrrs.org/athletes/8345619/Illinois/Tadeas_Placek.html,CZE,2022
indiana,amelia dodds,https://www.tfrrs.org/athletes/8584870/Indiana_IN/Amelia__Dodds.html,CAN,2023
indiana,kai snell,https://www.tfrrs.org/athletes/8831957/Indiana_IN/Kai_Snell.html,GBR,2023
indiana,kristina vincic,https://www.tfrrs.org/athletes/8669342/Indiana_IN/Kristina_Vincic.html,CAN,2023
iona,aiden coles,https://www.tfrrs.org/athletes/8264770/Iona/Aiden_Coles.html,CAN,2022
iona,tristan coles,https://www.tfrrs.org/athletes/8264771/Iona/Tristan_Coles.html,CAN,2022
